2021년 8월 1일,619520,738990,684980,711500,664200
2021년 8월 2일,635940,739000,678010,718990,707570
2021년 8월 3일,668500,699000,702700,648700,644500
2021년 8월 4일,670000,700700,748990,645680,644320
2021년 8월 5일,676800,632900,699950,739000,643700
2021년 8월 6일,676650,636870,637200,694610,730000
2021년 8월 7일,678460,636410,648000,699410,698990
2021년 8월 8일,678220,636180,684810,699070,698990
2021년 8월 9일,678220,636050,684810,698070,643230
2021년 8월 10일,670510,643500,642160,691630,644340
2021년 8월 12일,709000,679760,729530,738830,879000
2021년 8월 12일,709000,679760,729530,698070,879000
2021년 8월 13일,720800,720800,708400,730910,879000
2021년 8월 14일,720800,731400,720800,747480,759000
2021년 8월 15일,733040,619000,720800,747300,765000
2021년 8월 16일,733040,619000,720800,747180,728000
2021년 8월 17일,762710,720800,746510,728000,765000
2021년 8월 18일,817800,816700,800000,765900,765000
2021년 8월 19일,817500,816300,820000,860980,765000
2021년 8월 20일,816180,825690,830000,862990,949950
2021년 8월 21일,816390,825380,828190,839000,990000
2021년 8월 22일,816270,825270,839000,828700,793710
2021년 8월 23일,830000,798990,803250,774830,837350
2021년 8월 24일,873890,825000,812330,839000,793580
2021년 8월 25일,871620,818880,803360,859210,864790
2021년 8월 26일,871330,819990,807300,937990,854680
2021년 8월 27일,990000,937810,825000,870000,823020
2021년 8월 28일,990000,825000,870000,892670,870000
2021년 8월 29일,990000,825000,870000,877160,892430
2021년 8월 30일,990000,891480,870000,880000,892250
2021년 8월 31일,958800,889990,882130,870000,968990
2021년 9월 1일,958790,883600,968990,870000,891890
2021년 9월 2일,958620,939990,968990,890000,934990
2021년 9월 3일,952690,930000,960000,890000,900680
2021년 9월 4일,958790,910000,960000,900680,929990
2021년 9월 5일,958790,940000,960000,984400,929990
2021년 9월 6일,957080,1089450,968270,1016500,958990
2021년 9월 7일,969990,959000,956690,919760,1016500
2021년 9월 8일,969870,958950,972000,919570,928090
2021년 9월 9일,990000,917660,1100000,958940,930180
2021년 9월 10일,990000,928180,1100000,967260,954000
2021년 9월 11일,990000,929890,1100000,975200,954000
2021년 9월 12일,990000,929710,1100000,975200,954000
2021년 9월 13일,1006140,931750,1100000,964600,935000
2021년 9월 14일,1007000,919000,1100000,975200,954000
2021년 9월 15일,1010040,919000,996400,1249950,943400
2021년 9월 16일,1012000,919000,1007000,973700,964600
2021년 9월 20일,1017600,909000,1016990,964600,964600
2021년 9월 22일,996400,909000,996400,932800,932800
2021년 9월 23일,1029880,909000,950000,944850,950000
2021년 9월 24일,1028200,909000,950000,929000,944560
2021년 9월 25일,1020650,909000,950000,917490,927830
